"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"47" "Nava de Arévalo" "AV01" "Nava de Arévalo" "044652000W" "405853000N" 863 350145 4538230 30 "2000-07-05T00:00:00" NA
"48" "Muñogalindo" "AV101" "Muñogalindo" "045605000W" "403438000N" 1131 336237 4493640 30 "2008-06-27T00:00:00" NA
"49" "Losar del Barco" "AV102" "Losar del Barco, El" "053140000W" "402222000N" 1028 285381 4472220 30 "2008-06-27T00:00:00" NA
"50" "Zalamea de la Serena" "BA01" "Zalamea de la Serena" "054127000W" "384043000N" 455 265910 4284560 30 "1999-08-24T00:00:00" NA
"51" "Monterrubio de la Serena" "BA02" "Monterrubio de la Serena" "052300000W" "383529000N" 496 292404 4274150 30 "1999-08-24T00:00:00" NA
"52" "Don Benito" "BA03" "Don Benito" "055422000W" "385549000N" 263 248074 4313080 30 "1999-08-25T00:00:00" "2010-01-24T00:00:00"
"53" "Villagonzalo" "BA04" "Villagonzalo" "061109000W" "385013000N" 259 223468 4303540 29 "1999-08-25T00:00:00" NA
"54" "Jerez de los Caballeros" "BA05" "Jerez de los Caballeros" "064412000W" "381652000N" 264 173113 4243640 29 "1999-08-26T00:00:00" NA
"55" "Olivenza" "BA06" "Olivenza" "070328000W" "384315000N" 202 147185 4293630 29 "1999-08-26T00:00:00" NA
"56" "Villafranca de los Barros" "BA07" "Villafranca de los Barros" "062051000W" "383435000N" 438 208360 4275100 29 "2001-05-08T00:00:00" "2010-01-25T00:00:00"
"57" "Don Benito" "BA08" "Don Benito" "055345000W" "385539000N" 269 248957 4312730 30 "2010-01-25T00:00:00" NA
"58" "Villafranca de los Barros" "BA09" "Villafranca de los Barros" "062054000W" "383431000N" 403 208280 4275000 29 "2010-01-26T00:00:00" NA
"59" "Mérida" "BA101" "Mérida" "061909000W" "385042000N" 265 211917 4304830 29 "2002-12-04T00:00:00" NA
"60" "Azuaga" "BA102" "Azuaga" "054228000W" "382329000N" 546 263512 4252720 30 "2006-09-07T00:00:00" NA
"61" "Puebla de Alcocer" "BA103" "Puebla de Alcocer" "050544000W" "390428000N" 506 318722 4327150 30 "2006-12-21T00:00:00" NA
"62" "Fuente de Cantos" "BA104" "Fuente de Cantos" "061827000W" "381230000N" 607 210378 4234130 29 "2008-04-02T00:00:00" NA
"63" "Don Benito-EFA" "BA105" "Don Benito" "055132000W" "385904000N" 255 252360 4318970 30 "2009-12-17T00:00:00" NA
"64" "Santa Amalia" "BA106" "Santa Amalia" "055907000W" "390047000N" 252 241514 4322470 30 "2011-11-25T00:00:00" NA
"65" "Torrefresneda" "BA107" "Guareña" "060647850W" "390011560N" 256 230390 4321747 29 "2023-04-04T00:00:00" NA
"66" "Navalvillar de Pela" "BA108" "Navalvillar de Pela" "052340960W" "390724950N" 332 292986 4333223 30 "2023-04-20T00:00:00" NA
"67" "Acevedos" "BA201" "Badajoz" "070449000W" "384617000N" 209 145482 4299340 29 "2004-05-24T00:00:00" "2006-05-29T00:00:00"
"68" "Sagrajas" "BA202" "Badajoz" "065422000W" "385422000N" 174 161247 4313640 29 "1997-10-07T00:00:00" "2006-10-15T00:00:00"
"69" "Bercial" "BA203" "Badajoz" "064940000W" "385237000N" 188 167915 4310100 29 "1998-06-09T00:00:00" NA
"70" "Rueda Chica" "BA204" "Badajoz" "064358000W" "385446000N" 185 176326 4313750 29 "1998-06-16T00:00:00" NA
"71" "La Orden" "BA205" "Lobón" "063955000W" "385136000N" 185 181923 4307650 29 "1997-01-16T00:00:00" NA
"72" "Arroyo" "BA206" "Arroyo de San Serván" "062822000W" "385129000N" 219 198644 4306780 29 "1997-12-01T00:00:00" NA
"73" "Don Rodrigo" "BA207" "Alange" "062044000W" "383934000N" 362 208873 4284330 29 "2004-05-24T00:00:00" "2012-03-07T00:00:00"
"74" "Guareña" "BA208" "Valdetorres" "060635000W" "385432000N" 266 230335 4311280 29 "1997-07-17T00:00:00" "2004-11-18T00:00:00"
"75" "Don Benito-EFA" "BA209" "Don Benito" "055121000W" "385918000N" 260 252627 4319390 30 "1996-11-21T00:00:00" "2006-10-15T00:00:00"
"76" "Palazuelo" "BA210" "Villar de Rena" "054433000W" "390608000N" 270 262837 4331710 30 "1999-05-26T00:00:00" NA
"77" "Miranda de Ebro" "BU01" "Miranda de Ebro" "025828000W" "424122000N" 479 502088 4726360 30 "2000-07-24T00:00:00" "2006-02-13T00:00:00"
"78" "Valle de Valdelucio" "BU02" "Valle de Valdelucio" "040758000W" "424446000N" 971 407277 4733270 30 "2000-07-25T00:00:00" NA
"79" "Lerma" "BU03" "Lerma" "034604000W" "420222000N" 823 436441 4654470 30 "2000-07-25T00:00:00" NA
"80" "Tardajos" "BU04" "Tardajos" "034809000W" "422045000N" 824 433887 4688520 30 "2000-10-10T00:00:00" NA
"81" "Vadocondes" "BU05" "Vadocondes" "033436000W" "413813000N" 813 451952 4609650 30 "2000-10-21T00:00:00" NA
