"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"195" "Pinos Puente" "GR04" "Pinos Puente" "034623000W" "371542000N" 594 431438 4124200 30 "2000-08-22T00:00:00" "2015-03-18T00:00:00"
"196" "Iznalloz" "GR05" "Iznalloz" "033305000W" "372459000N" 921 451202 4141210 30 "2000-08-22T00:00:00" NA
"197" "Jerez del Marquesado" "GR06" "Jerez del Marquesado" "030859000W" "371125000N" 1201 486699 4116020 30 "2000-09-05T00:00:00" NA
"198" "Cádiar" "GR07" "Cádiar" "031102000W" "365523000N" 928 483613 4086360 30 "2000-09-05T00:00:00" NA
"199" "Zafarraya" "GR08" "Zafarraya" "040913000W" "365925000N" 892 397321 4094420 30 "2000-09-07T00:00:00" NA
"200" "Almuñecar" "GR09" "Almuñécar" "034039000W" "364421000N" 49 439500 4066160 30 "2001-01-25T00:00:00" "2007-07-30T00:00:00"
"201" "Padul" "GR10" "Padul" "033601000W" "370107000N" 747 446599 4097120 30 "2001-01-25T00:00:00" NA
"202" "IFAPA Centro Camino del Purchil" "GR101" "Granada" "033818000W" "371019000N" 630 443311 4114150 30 "2005-05-26T00:00:00" NA
"203" "Huéneja" "GR102" "Huéneja" "025748530W" "371254090N" 1110 503240 4118727 30 "2014-09-11T00:00:00" NA
"204" "Almuñecar" "GR11" "Almuñécar" "034044000W" "364506000N" 29 439384 4067570 30 "2007-07-30T00:00:00" NA
"205" "Pinos Puente Casanueva" "GR12" "Pinos Puente" "034708058W" "371430720N" 549 430324.33 4121993.3 30 "2018-12-12T00:00:00" NA
"206" "Finca el serranillo: Vivero forestal" "GU01" "Guadalajara" "031026000W" "403929000N" 665 485290 4500830 30 "1999-09-16T00:00:00" "2006-12-19T00:00:00"
"207" "Jadraque" "GU02" "Jadraque" "025647000W" "405537000N" 783 504494 4530680 30 "1999-09-16T00:00:00" NA
"208" "Armuña de Tajuña" "GU03" "Armuña de Tajuña" "030050000W" "403149000N" 738 498822 4486630 30 "2000-11-08T00:00:00" NA
"209" "Alovera" "GU04" "Alovera" "031450000W" "403526000N" 664 479079 4493360 30 "2000-11-08T00:00:00" "2006-05-08T00:00:00"
"210" "Prados Redondos" "GU05" "Prados Redondos" "014754000W" "404745000N" 1109 601354 4516820 30 "2000-12-20T00:00:00" NA
"211" "Illana" "GU06" "Illana" "025910000W" "401232000N" 582 501171 4450960 30 "2001-05-03T00:00:00" NA
"212" "Finca El Serranillo" "GU07" "Guadalajara" "031027000W" "403926000N" 644 485268 4500730 30 "2007-02-15T00:00:00" "2010-05-24T00:00:00"
"213" "Alovera" "GU08" "Alovera" "031446000W" "403526000N" 632 479157 4493340 30 "2007-03-16T00:00:00" "2010-10-24T00:00:00"
"214" "Marchamalo" "GU09" "Guadalajara" "031235000W" "404050000N" 692 482270 4503340 30 "2010-07-30T00:00:00" NA
"215" "El Tojalillo-Gibraleón" "H01" "Gibraleón" "070140000W" "371905000N" 52 143043 4137800 29 "1999-12-21T00:00:00" "2016-03-14T00:00:00"
"216" "Lepe" "H02" "Lepe" "071435000W" "371809000N" 45 123877 4136900 29 "1999-12-21T00:00:00" NA
"217" "Gibraleón" "H03" "Gibraleón" "070335000W" "372444000N" 147 140652 4148360 29 "1999-12-22T00:00:00" NA
"218" "Moguer" "H04" "Moguer" "064733000W" "370847000N" 53 163137 4117860 29 "2000-10-25T00:00:00" "2021-07-20T00:00:00"
"219" "Niebla" "H05" "Niebla" "064407000W" "372049000N" 28 169098 4139930 29 "2000-10-25T00:00:00" NA
"220" "Aroche" "H06" "Aroche" "065642000W" "375729000N" 293 153376 4208510 29 "2000-11-14T00:00:00" NA
"221" "La Puebla de Guzmán" "H07" "Puebla de Guzmán" "071454000W" "373307000N" 248 124659 4164620 29 "2000-11-14T00:00:00" NA
"222" "El Campillo" "H08" "Campillo, El" "063557000W" "373939000N" 383 182491 4174300 29 "2000-11-15T00:00:00" NA
"223" "La Palma del Condado" "H09" "Palma del Condado, La" "063229000W" "372201000N" 171 186354 4141470 29 "2000-11-15T00:00:00" NA
"224" "Almonte" "H10" "Almonte" "062835000W" "370853000N" 13 191221 4116990 29 "2000-11-16T00:00:00" NA
"225" "IFAPA Centro Las Torres-Tomejil. Finca El Cebollar" "H101" "Moguer" "064808000W" "371425000N" 63 162674 4128310 29 "2001-07-18T00:00:00" NA
"226" "IFAPA El Cebollar Bajo plastico" "H102" "Moguer" "064804000W" "371427000N" 64 162775 4128400 29 "2008-11-20T00:00:00" NA
"227" "Almonte bajo plástico" "H103" "Almonte" "063342270W" "370430280N" 38 183346.69 4109139.53 29 "2011-11-28T00:00:00" NA
"228" "Almonte bajo plástico frb" "H104" "Almonte" "063203000W" "370531000N" 23 185851 4110940 29 "2011-11-28T00:00:00" "2014-03-24T00:00:00"
"229" "Almonte bajo plástico" "H105" "Almonte" "062945000W" "370942000N" 20 189541 4118550 29 "2013-12-13T00:00:00" "2014-05-15T00:00:00"
"230" "Lepe bajo plástico" "H106" "Lepe" "071446553W" "371416661N" 74 123271 4129727 29 "2015-11-13T00:00:00" "2018-06-12T00:00:00"
"231" "Palos de la Frontera bajo plástico" "H107" "Palos de la Frontera" "065147150W" "371226230N" 11 157141.75 4124863.13 29 "2021-06-02T00:00:00" NA
"232" "Gibraleón - Manzorrales" "H11" "Gibraleón" "070055492W" "371831903N" 43 144096 4136702 29 "2016-11-04T00:00:00" NA
"233" "Valfarta" "HU01" "Valfarta" "000852000W" "413153000N" 358 737942 4601690 30 "2003-08-07T00:00:00" NA
"234" "Zaidín" "HU02" "Zaidín" "001720000E" "413813000N" 178 773947 4614720 31 "2003-08-18T00:00:00" NA
"235" "Alcolea de Cinca" "HU03" "Alcolea de Cinca" "000423000E" "414427000N" 219 755554 4625580 31 "2003-08-20T00:00:00" NA
"236" "Tamarite de Litera" "HU04" "Tamarite de Litera" "002237689W" "414651409N" 216 780662 4630970 30 "2003-08-20T00:00:00" NA
"237" "Lanaja" "HU05" "Lanaja" "002016000W" "414711000N" 360 721218 4629490 30 "2003-08-25T00:00:00" NA
"238" "Selgua" "HU06" "Monzón" "000735290W" "415622922N" 306 759185 4647810 30 "2003-08-26T00:00:00" NA
"239" "Barbastro" "HU07" "Barbastro" "000645000E" "420048000N" 410 757738 4655960 31 "2003-08-26T00:00:00" NA
"240" "Sariñena" "HU08" "Sariñena" "001035000W" "414617000N" 288 734668 4628250 30 "2003-08-27T00:00:00" NA
"241" "Huesca" "HU09" "Huesca" "002239000W" "420619000N" 429 716821 4664810 30 "2003-09-24T00:00:00" NA
"242" "Candasnos" "HU10" "Candasnos" "000539000E" "412735000N" 307 758445 4594440 31 "2003-09-30T00:00:00" NA
"243" "Grañén" "HU11" "Grañén" "002121000W" "415633000N" 321 719175 4646770 30 "2003-10-29T00:00:00" NA
"244" "Huerto" "HU12" "Huerto" "000814000W" "415652000N" 395 737282 4647970 30 "2003-11-18T00:00:00" NA
"245" "Gurrea de Gállego" "HU13" "Gurrea de Gállego" "004352000W" "415934000N" 364 687923 4651470 30 "2003-11-18T00:00:00" NA
"246" "Banastón" "HU14" "Aínsa-Sobrarbe" "001009000E" "422325000N" 559 760884 4697990 31 "2004-01-14T00:00:00" NA
"247" "Alfántega" "HU15" "Alfántega" "000852000E" "414918000N" 246 761432 4634800 31 "2004-01-14T00:00:00" NA
"248" "Santa Cilia de Jaca" "HU16" "Santa Cilia" "004313000W" "423352000N" 666 687109 4714980 30 "2004-02-12T00:00:00" "2008-12-16T00:00:00"
"249" "Fraga" "HU17" "Fraga" "002114000E" "412942000N" 96 779969 4599160 31 "2004-02-25T00:00:00" NA
"250" "Tardienta" "HU18" "Tardienta" "003027000W" "415809000N" 362 706522 4649380 30 "2005-06-13T00:00:00" NA
"251" "San Esteban de Litera" "HU19" "San Esteban de Litera" "001815000E" "415258000N" 312 774164 4642060 31 "2005-06-14T00:00:00" NA
"252" "Monte Julia" "HU20" "Belver de Cinca" "001354000E" "414432000N" 270 768745 4626240 31 "2005-06-14T00:00:00" NA
"253" "Sodeto" "HU21" "Alberuela de Tubo" "001526000W" "415302000N" 314 727565 4640530 30 "2005-06-15T00:00:00" NA
"254" "Santa Cilia de Jaca" "HU22" "Santa Cilia" "004228000W" "423437000N" 730 688103 4716400 30 "2010-03-10T00:00:00" NA
"255" "Santa Eulalia" "IB01" "Santa Eulalia del Río" "012623000E" "390036000N" 120 884487 4327280 31 "2004-03-30T00:00:00" NA
"256" "Inca" "IB02" "Inca" "025618000E" "394101000N" 78 1009420 4409550 31 "2004-03-31T00:00:00" NA
"257" "Manacor" "IB03" "Manacor" "031017000E" "393245000N" 79 1030470 4395600 31 "2004-04-01T00:00:00" NA
"258" "Son Ferriol" "IB04" "Palma" "024333000E" "393344000N" 8 992040 4394870 31 "2004-04-01T00:00:00" NA
"259" "Felanitx" "IB05" "Felanitx" "030510000E" "392831000N" 82 1023670 4387260 31 "2004-04-05T00:00:00" NA
"260" "Sa Pobla" "IB06" "Pobla, Sa" "030232000E" "394810000N" 4 1017420 4423370 31 "2004-04-05T00:00:00" NA
"261" "Sóller" "IB07" "Sóller" "024240000E" "394649000N" 44 989206 4419030 31 "2004-08-11T00:00:00" "2012-11-13T00:00:00"
"262" "Es Mercadal" "IB08" "Mercadal, Es" "040553000E" "400013000N" 40 1106140 4452380 31 "2005-10-05T00:00:00" NA
"263" "Artá" "IB09" "Artà" "032136000E" "394150000N" 105 1045510 4413540 31 "2005-10-24T00:00:00" "2018-10-10T00:00:00"
"264" "Calviá" "IB10" "Calvià" "022752000E" "393304000N" 30 969620 4392240 31 "2005-10-08T00:00:00" NA
"265" "Ciutadella" "IB101" "Ciutadella de Menorca" "035110000E" "395755000N" 21 1085510 4446460 31 "2008-12-02T00:00:00" "2009-08-10T00:00:00"
"266" "S' Estany des Peix" "IB11" "Formentera" "012352000E" "384337000N" 7 882360 4295680 31 "2005-10-10T00:00:00" NA
"267" "Huesa" "J01" "Huesa" "030342000W" "374450000N" 779 494567 4177790 30 "2000-08-08T00:00:00" NA
"268" "Pozo Alcón" "J02" "Pozo Alcón" "025548000W" "374018000N" 881 506163 4169420 30 "2000-08-09T00:00:00" NA
"269" "San José de los Propios" "J03" "Úbeda" "031349000W" "375128000N" 494 479742 4190080 30 "2000-08-09T00:00:00" NA
"270" "Sabiote" "J04" "Sabiote" "031407000W" "380446000N" 791 479346 4214660 30 "2000-08-10T00:00:00" NA
"271" "Torreblascopedro" "J05" "Torreblascopedro" "034121000W" "375919000N" 275 439469 4204790 30 "2000-08-10T00:00:00" NA
"272" "Alcaudete" "J06" "Alcaudete" "040442000W" "373438000N" 640 404780 4159460 30 "2000-08-23T00:00:00" NA
"273" "Mancha Real" "J07" "Mancha Real" "033547000W" "375459000N" 407 447571 4196710 30 "2000-08-23T00:00:00" NA
"274" "Ubeda" "J08" "Úbeda" "031801000W" "375634000N" 343 473599 4199520 30 "2000-08-24T00:00:00" NA
"275" "Linares" "J09" "Linares" "033858000W" "380331000N" 432 443002 4212540 30 "2000-08-24T00:00:00" "2018-06-13T00:00:00"
"276" "Marmolejo" "J10" "Marmolejo" "040750000W" "380321000N" 208 400806 4212640 30 "2000-09-04T00:00:00" "2009-12-15T00:00:00"
"277" "Torreperogil" "J101" "Torreperogil" "031438000W" "375827000N" 535 478573 4203000 30 "2006-04-03T00:00:00" NA
"278" "Villacarrillo" "J102" "Villacarrillo" "031201000W" "380348000N" 649 482408 4212870 30 "2006-04-05T00:00:00" NA
"279" "Jódar" "J103" "Jódar" "032003000W" "375242000N" 486 470605 4192400 30 "2006-04-05T00:00:00" NA
"280" "IFAPA Centro Mengibar" "J104" "Mengíbar" "034715000W" "375627000N" 293 430790 4199560 30 "2008-04-10T00:00:00" NA
"281" "Chiclana de Segura" "J11" "Chiclana de Segura" "025947000W" "381810000N" 571 500305 4239420 30 "2000-09-18T00:00:00" NA
"282" "La Higuera de Arjona" "J12" "Lahiguera" "040027000W" "375655000N" 257 411463 4200610 30 "2001-01-16T00:00:00" NA
"283" "Mengíbar" "J13" "Mengíbar" "034927000W" "375750000N" 373 427594 4202140 30 "2001-01-16T00:00:00" "2001-04-19T00:00:00"
"284" "Santo Tomé" "J14" "Santo Tomé" "030458000W" "380145000N" 537 492726 4209060 30 "2001-04-03T00:00:00" NA
"285" "Jaén" "J15" "Jaén" "034616000W" "375326000N" 299 432183 4193960 30 "2001-04-18T00:00:00" NA
"286" "Marmolejo" "J16" "Marmolejo" "041057000W" "380256000N" 240 396245 4211910 30 "2011-04-08T00:00:00" NA
"287" "Linares" "J17" "Linares" "033428370W" "380502240N" 282 449613 4215286 30 "2018-06-13T00:00:00" NA
"288" "Carracedelo" "LE01" "Carracedelo" "064231470W" "423410010N" 472 195585 4719674 29 "1999-10-26T00:00:00" NA
"289" "Mansilla mayor" "LE02" "Mansilla Mayor" "052558000W" "423023000N" 791 300123 4708890 30 "1999-10-27T00:00:00" NA
"290" "Cubillas de los Oteros" "LE03" "Cubillas de los Oteros" "053042267W" "422351991N" 768 293278 4696998 30 "1999-10-27T00:00:00" NA
"291" "Zotes del Páramo" "LE04" "Zotes del Páramo" "054413000W" "421527000N" 779 274230 4682010 30 "1999-12-02T00:00:00" NA
"292" "Quintana del Marco" "LE05" "Quintana del Marco" "055021000W" "421305000N" 749 265661 4677910 30 "1999-12-02T00:00:00" NA
"293" "Hospital de Orbigo" "LE06" "Hospital de Órbigo" "055348000W" "422735000N" 819 261828 4704910 30 "2000-07-03T00:00:00" NA
"294" "Bustillo del Páramo" "LE07" "Bustillo del Páramo" "054620000W" "422752000N" 853 272071 4705080 30 "2000-07-04T00:00:00" NA
"295" "Sahagún" "LE08" "Sahagún" "050123000W" "422227000N" 837 333434 4693310 30 "2000-07-04T00:00:00" NA
"296" "Santas Martas" "LE09" "Santas Martas" "051536000W" "422627000N" 876 314117 4701220 30 "2000-07-06T00:00:00" NA
"297" "Castro de Rei" "LU01" "Castro de Rei" "072915000W" "430917000N" 400 135107 4787804 29 "2005-07-05T00:00:00" NA
"298" "Monforte de Lemos" "LU02" "Monforte de Lemos" "073005000W" "423024000N" 331 130127 4715890 29 "2005-07-06T00:00:00" NA
"299" "Center: Finca experimental" "M01" "San Fernando de Henares" "032947000W" "402443000N" 553 457867 4473610 30 "2003-11-02T00:00:00" NA
"300" "Arganda" "M02" "Arganda del Rey" "032952000W" "401839000N" 532 457693 4462410 30 "2003-12-09T00:00:00" NA
"301" "Aranjuez" "M03" "Aranjuez" "033749000W" "400229000N" 486 446220 4432570 30 "2003-12-10T00:00:00" NA
"302" "Fuentidueña de Tajo" "M04" "Fuentidueña de Tajo" "031026000W" "400625000N" 552 485162 4439660 30 "2004-01-14T00:00:00" NA
"303" "San Martín de la Vega" "M05" "San Martín de la Vega" "033335000W" "401359000N" 516 452366 4453800 30 "2005-06-07T00:00:00" NA
"304" "Chinchón" "M06" "Chinchón" "032807000W" "401131000N" 532 460101 4449200 30 "2005-06-07T00:00:00" NA
"305" "Villa del Prado" "M102" "Villa del Prado" "041622000W" "401503000N" 466 391738 4456390 30 "2005-06-14T00:00:00" NA
"306" "Málaga" "MA01" "Málaga" "043215000W" "364523000N" 55 362741 4068970 30 "2000-10-23T00:00:00" NA
"307" "Vélez-Málaga" "MA02" "Vélez-Málaga" "040753000W" "364745000N" 33 399039 4072850 30 "2000-10-18T00:00:00" NA
"308" "Antequera" "MA03" "Villanueva de la Concepción" "043336000W" "370319000N" 457 361277 4102170 30 "2000-11-21T00:00:00" "2011-03-10T00:00:00"
"309" "Estepona" "MA04" "Estepona" "051235000W" "362640000N" 185 301937 4035540 30 "2000-11-22T00:00:00" NA
"310" "Archidona" "MA05" "Archidona" "042549000W" "370436000N" 516 372855 4104350 30 "2000-12-19T00:00:00" "2012-09-26T00:00:00"
"311" "Sierra Yeguas" "MA06" "Sierra de Yeguas" "045009000W" "370818000N" 467 336928 4111800 30 "2000-12-19T00:00:00" NA
"312" "IFAPA Churriana" "MA07" "Málaga" "043011000W" "364025000N" 17 365680 4059740 30 "2001-01-24T00:00:00" NA
"313" "Pizarra" "MA08" "Pizarra" "044254000W" "364600000N" 71 346918 4070360 30 "2001-01-24T00:00:00" NA
"314" "Cártama" "MA09" "Cártama" "044041000W" "364300000N" 78 350119 4064780 30 "2001-06-19T00:00:00" NA
"315" "Antequera" "MA10" "Villanueva de la Concepción" "043345000W" "370203000N" 440 361021 4099810 30 "2011-03-11T00:00:00" NA
"316" "IFAPA Centro de Campanillas" "MA101" "Málaga" "043338000W" "364344000N" 63 360629 4065960 30 "2007-09-20T00:00:00" NA
"317" "Archidona" "MA11" "Archidona" "042505790W" "370613850N" 529 373857.8 4107195.24 30 "2014-05-23T00:00:00" NA
"318" "Finca experimental de Aguilas (CIDA)" "MU01" "Águilas" "013531000W" "372507000N" 30 624578 4142250 30 "1999-05-24T00:00:00" NA
"319" "Finca experimental de Totana (CIDA)" "MU02" "Totana" "013047000W" "374356000N" 236 631022 4177170 30 "1999-05-24T00:00:00" NA
"320" "Forja, S.A.-Fuente Alamo" "MU03" "Fuente Álamo de Murcia" "010745000W" "374453000N" 138 664814 4179530 30 "1999-07-05T00:00:00" NA
"321" "Los Martínez del Puerto" "MU04" "Torre-Pacheco" "010242000W" "374816000N" 124 672089 4185940 30 "1999-07-06T00:00:00" "2009-09-19T00:00:00"
"322" "Corvera" "MU05" "Murcia" "010733000W" "375024000N" 200 664905 4189730 30 "1999-07-06T00:00:00" "2002-06-03T00:00:00"
"323" "La Aljorra" "MU06" "Cartagena" "010351157W" "374029304N" 89 670824.31 4171705.75 30 "1999-07-07T00:00:00" NA
"324" "Roche. Finca La torreta" "MU07" "Unión, La" "005508000W" "373741000N" 130 683622 4166590 30 "1999-07-07T00:00:00" "2013-07-22T00:00:00"
"325" "Turilla: La Paca" "MU08" "Lorca" "014903000W" "375120000N" 693 604002 4190450 30 "1999-07-08T00:00:00" NA
"326" "Purias-Lorca" "MU09" "Lorca" "013746000W" "373606000N" 322 620981 4162510 30 "1999-07-08T00:00:00" NA
"327" "Charco de Taray" "MU10" "Fortuna" "010909000W" "380939000N" 197 661845 4225290 30 "1999-07-20T00:00:00" NA
"328" "Alhama (La Calavera)" "MU101" "Alhama de Murcia" "012501000W" "374730000N" 168 639382 4183910 30 "1997-01-15T00:00:00" NA
"329" "Calasparra (Rotas)" "MU102" "Calasparra" "014141000W" "381512000N" 276 614200 4234750 30 "1997-01-15T00:00:00" NA
"330" "Molina de Segura (Campotejar)" "MU103" "Molina de Segura" "011314000W" "380738000N" 146 655952 4221450 30 "1997-01-15T00:00:00" NA
"331" "Murcia (Cabezo Plata)" "MU104" "Murcia" "005901000W" "375838000N" 128 677088 4205240 30 "1997-01-15T00:00:00" NA
"332" "Mazarrón (Cañada Gallego)" "MU105" "Mazarrón" "012142000W" "373408000N" 94 644683 4159260 30 "1997-01-15T00:00:00" NA
"333" "Cehegín (La Torrecita)" "MU106" "Cehegín" "014647000W" "380615000N" 511 606971 4218100 30 "1997-01-15T00:00:00" NA
"334" "Fuente Alamo (Campillo bajo)" "MU107" "Fuente Álamo de Murcia" "011416000W" "374156000N" 175 655351 4173880 30 "1997-01-15T00:00:00" NA
"335" "Cehegín (El Chaparral)" "MU108" "Cehegín" "014059000W" "380642000N" 431 615442 4219040 30 "1997-01-15T00:00:00" NA
"336" "Puerto Lumbreras (El Esparragal)" "MU109" "Puerto Lumbreras" "014336000W" "373518000N" 318 612404 4160930 30 "1997-01-15T00:00:00" NA
"337" "Finca Taray (Torres de cotillas)" "MU11" "Torres de Cotillas, Las" "011809000W" "380025000N" 162 649023 4207950 30 "1999-07-20T00:00:00" NA
"338" "Blanca (Estación de Blanca)" "MU110" "Blanca" "011835000W" "381407000N" 280 647927 4233290 30 "1997-01-15T00:00:00" NA
"339" "Cieza (La Carrichosa)" "MU111" "Cieza" "012955000W" "381724000N" 253 631283 4239070 30 "1997-01-15T00:00:00" NA
"340" "Jumilla (las Encebras)" "MU112" "Jumilla" "011421000W" "382340000N" 400 653748 4251050 30 "1997-01-15T00:00:00" NA
"341" "Yecla (Pinillos)" "MU114" "Yecla" "010645000W" "383345000N" 567 664448 4269940 30 "1997-01-15T00:00:00" NA
"342" "Jumilla (Cº del Judio)" "MU115" "Jumilla" "012523000W" "382341000N" 395 637693 4250800 30 "1997-10-02T00:00:00" NA
"343" "Torre Pacheco (Torre Blanca)" "MU117" "Torre-Pacheco" "005355000W" "374624000N" 32 685067 4182780 30 "1997-10-02T00:00:00" NA
"344" "Torre Pacheco (Los Infiernos)" "MU119" "Torre-Pacheco" "005553000W" "374926000N" 90 682044 4188290 30 "1997-11-04T00:00:00" NA
"345" "Villanueva de Segura" "MU12" "Villanueva del Río Segura" "011955000W" "380735000N" 173 646200 4221150 30 "1999-07-21T00:00:00" "2011-12-11T00:00:00"
"346" "San Javier (Santiago de la Ribera)" "MU120" "San Javier" "004915000W" "374723000N" 6 691865 4184730 30 "1997-10-01T00:00:00" NA
"347" "Murcia (La Alberca)" "MU121" "Murcia" "010804000W" "375624000N" 54 663918 4200810 30 "1998-03-16T00:00:00" NA
"348" "Mula (Mula)" "MU123" "Mula" "012804000W" "380221000N" 275 634434 4211270 30 "1998-09-07T00:00:00" NA
"349" "Caravaca (Barranda)" "MU124" "Caravaca de la Cruz" "015921000W" "380239000N" 867 588685 4211200 30 "1998-10-29T00:00:00" NA
"350" "Jumilla (Roman)" "MU125" "Jumilla" "011932000W" "381904000N" 340 646370 4242420 30 "1998-11-13T00:00:00" NA
"351" "Abanilla (La Jaira)" "MU126" "Abanilla" "010314000W" "381010000N" 140 670466 4226410 30 "1999-02-01T00:00:00" NA
"352" "Torre Pacheco (Torre Pacheco)" "MU128" "Torre-Pacheco" "005912000W" "374451000N" 56 677368 4179730 30 "2005-06-01T00:00:00" NA
"353" "Casa Rosa de Ulea" "MU13" "Ulea" "011518000W" "381123000N" 316 652797 4228310 30 "1999-07-21T00:00:00" "2005-05-12T00:00:00"
"354" "San Javier (El Mirador)" "MU130" "San Javier" "005305000W" "375046000N" 93 686091 4190860 30 "2009-03-16T00:00:00" NA
"355" "Finca Venta de Ulea-Moratalla" "MU14" "Moratalla" "014847000W" "381148000N" 457 603922 4228300 30 "1999-07-22T00:00:00" NA
"356" "Librilla" "MU15" "Librilla" "012017000W" "375357000N" 299 646098 4195950 30 "1999-07-22T00:00:00" "2018-02-20T00:00:00"
"357" "Puerto Lumbreras" "MU16" "Puerto Lumbreras" "014137000W" "373013000N" 356 615445 4151560 30 "2000-09-25T00:00:00" NA
"358" "Beniel" "MU17" "Beniel" "005959000W" "380204000N" 28 675543 4211530 30 "2000-09-26T00:00:00" NA
"359" "Yecla" "MU18" "Yecla" "011109000W" "383932000N" 656 657845 4280490 30 "2000-09-26T00:00:00" NA
"360" "Corvera" "MU19" "Murcia" "010722000W" "374952000N" 227 665199 4188760 30 "2002-06-04T00:00:00" NA
"361" "Casa Rosa de Ulea" "MU20" "Ulea" "011528000W" "381128000N" 238 652563 4228480 30 "2005-04-30T00:00:00" NA
"362" "Librilla La Egesa" "MU21" "Librilla" "011834000W" "375325000N" 122 648642 4195008 30 "2018-03-28T00:00:00" NA
"363" "Jimenado" "MU22" "Torre-Pacheco" "010244310W" "374659940N" 19 672099.52 4183572.66 30 "2022-09-20T00:00:00" NA
"364" "22 Tudela" "NA01" "Tudela" "013409000W" "420403000N" 258 618366 4658260 30 "2003-10-06T00:00:00" "2011-07-21T00:00:00"
"365" "23 Fitero" "NA02" "Fitero" "015028698W" "420252506N" 464 595889 4655746 30 "2003-10-07T00:00:00" NA
"366" "24 Cascante" "NA03" "Cascante" "014321408W" "420210425N" 344 605731 4654588 30 "2003-10-07T00:00:00" NA
"367" "25 Ablitas" "NA04" "Ablitas" "013836133W" "415953763N" 341 612357 4650474 30 "2003-10-07T00:00:00" NA
"368" "06 Aibar" "NA05" "Aibar/Oibar" "011859000W" "423329000N" 419 638209 4713140 30 "2003-10-08T00:00:00" NA
"369" "07 San Martín de Unx" "NA06" "San Martín de Unx" "013642000W" "423046000N" 444 614036 4707660 30 "2003-10-09T00:00:00" NA
"370" "13 Murillo el Fruto" "NA07" "Murillo el Fruto" "012913000W" "422305000N" 345 624531 4693630 30 "2003-10-09T00:00:00" NA
"371" "02 Adiós" "NA08" "Adiós" "014450000W" "424111000N" 442 602626 4726760 30 "2003-10-21T00:00:00" NA
"372" "05 Artajona" "NA09" "Artajona" "014726000W" "423500000N" 360 599223 4715280 30 "2003-10-21T00:00:00" NA
"373" "08 Miranda de Arga" "NA10" "Miranda de Arga" "014831000W" "423040000N" 344 597865 4707230 30 "2003-10-22T00:00:00" NA
"374" "20 Cadreita" "NA101" "Cadreita" "014305000W" "421228000N" 267 605802 4673640 30 "1997-10-01T00:00:00" NA
"375" "19 Bardenas Reales (Barranco)" "NA102" "Condominio_varios_municipios" "013920000W" "421551000N" 298 610873 4680000 30 "1997-09-01T00:00:00" NA
"376" "15 Sartaguda" "NA103" "Sartaguda" "020304000W" "422142000N" 307 578128 4690400 30 "1997-09-01T00:00:00" NA
"377" "11 Olite" "NA104" "Olite/Erriberri" "013945284W" "422525603N" 397 610025 4697696 30 "1998-06-01T00:00:00" NA
"378" "14 Traibuenas" "NA105" "Murillo el Cuende" "013655000W" "422141000N" 312 614023 4690840 30 "1999-04-15T00:00:00" NA
"379" "01 Arazuri" "NA106" "Cendea de Olza/Oltza Zendea" "014324000W" "424835000N" 396 604373 4740490 30 "2000-03-10T00:00:00" NA
"380" "03 Lumbier" "NA107" "Lumbier" "011632000W" "423955000N" 484 641305 4725090 30 "2000-05-03T00:00:00" NA
"381" "04 Ancin" "NA108" "Murieta" "021018000W" "423920000N" 469 567870 4722910 30 "2001-05-15T00:00:00" NA
"382" "21 Corella" "NA109" "Corella" "015023000W" "420656000N" 429 595908 4663260 30 "2002-05-07T00:00:00" NA
"383" "12 Falces" "NA11" "Falces" "014733252W" "422431536N" 292 599354.644 4695868.089 30 "2003-10-22T00:00:00" NA
"384" "18 Funes" "NA110" "Funes" "014824000W" "421716000N" 391 598382 4682430 30 "2002-09-01T00:00:00" NA
"385" "09 Lerin" "NA111" "Lerín" "015834000W" "423012000N" 354 584109 4706200 30 "2004-01-01T00:00:00" NA
"386" "16 San Adrián" "NA12" "San Adrián" "015325000W" "422024000N" 385 591404 4688130 30 "2003-10-23T00:00:00" "2007-06-08T00:00:00"
"387" "10 Bargota" "NA13" "Bargota" "021752431W" "422846213N" 380 557708 4703256 30 "2003-10-23T00:00:00" NA
"388" "17 Bardenas Reales (El Plano)" "NA14" "Condominio_varios_municipios" "013102683W" "421749398N" 428 622213 4683823 30 "2003-10-30T00:00:00" NA
"389" "26 Los Arcos" "NA15" "Arcos, Los" "021059493W" "423228380N" 415 567070 4710193 30 "2005-06-08T00:00:00" NA
"390" "27 Sesma" "NA16" "Sesma" "020731091W" "422831045N" 438 571899 4702920 30 "2005-06-08T00:00:00" NA
"391" "San Adrián" "NA17" "San Adrián" "015400000W" "422130000N" 380 590570 4690180 30 "2011-09-27T00:00:00" NA
"392" "Tudela" "NA18" "Tudela" "013438551W" "420535962N" 283 617647 4661120 30 "2013-11-14T00:00:00" NA
"393" "Torquemada" "P01" "Torquemada" "041804000W" "420304000N" 741 392330 4656290 30 "2000-06-27T00:00:00" NA
"394" "Villamuriel de Cerrato" "P02" "Villamuriel de Cerrato" "042915000W" "415646000N" 736 376702 4644880 30 "2000-06-27T00:00:00" NA
"395" "Fuentes de Nava" "P03" "Fuentes de Nava" "044308000W" "420452000N" 741 357805 4660220 30 "2000-06-28T00:00:00" NA
